"question","intent","response"
"hi","greeting","Hello! Welcome to SGT University AI Assistant. How can I help you today?"
"hello","greeting","Hello! How can I assist you?"
"hey","greeting","Hi there! Ask me anything about SGT University."
"hii","greeting","Hello! How may I help you?"
"hy","greeting","Hi! How can I assist you?"
"greetings","greeting","Greetings! How can I help you today?"
"good morning","greeting","Good morning! What would you like to know?"
"good afternoon","greeting","Good afternoon! How may I help?"
"good evening","greeting","Good evening! Ask me anything about SGT University."
"yo","greeting","Hello! I am your SGT assistant."
"sup","greeting","Hi! How can I assist you today?"
"start","greeting","Hello! How can I help you?"
"help","greeting","I am here to help! What would you like to know?"
"hey buddy","greeting","Hello! How may I assist you?"
"hello there","greeting","Hi! How can I help?"
"hi there","greeting","Hello! What can I do for you?"
"morning","greeting","Good morning! How can I help you?"
"evening","greeting","Good evening! What would you like to know?"
"afternoon","greeting","Good afternoon! How can I assist?"
"namaste","greeting","Hello! Welcome to SGT University Assistant."
"what is sgt university","about","SGT University is a NAAC A+ accredited private university located in Gurugram offering various undergraduate and postgraduate programs."
"about sgt","about","SGT University is a leading university in Haryana known for quality education and placements."
"tell me about sgt university","about","SGT University is NAAC A+ accredited and offers programs in engineering, management, health sciences and more."
"sgt university details","about","SGT University is located in Gurugram and provides multiple professional courses."
"about university","about","SGT University provides modern infrastructure, industry exposure and strong academic programs."
"sgt info","about","SGT University is a recognized institution with modern facilities and strong placement support."
"university info","about","SGT University offers programs across multiple disciplines with advanced facilities."
"where is sgt","about","SGT University is located in Gurugram, Haryana, India."
"location of sgt","about","SGT University campus is located in Budhera, Gurugram."
"sgt location","about","SGT University is situated in Gurugram, Haryana."
"about campus","about","SGT University campus includes modern classrooms, labs and hostel facilities."
"campus details","about","The campus offers modern infrastructure and academic facilities."
"sgt overview","about","SGT University is known for academic excellence and placements."
"who founded sgt","about","SGT University is established under the Dashmesh Educational Trust."
"recognition of sgt","about","SGT University is NAAC A+ accredited and recognized by UGC."
"is sgt good","about","SGT University is a reputed institution with strong academic programs."
"why choose sgt","about","Students choose SGT University for quality education and career opportunities."
"sgt ranking","about","SGT University has strong academic reputation and NAAC A+ accreditation."
"about college","about","SGT University provides professional courses with industry exposure."
"about university campus","about","The campus includes labs, libraries, hostels and sports facilities."
"courses","programs","SGT University offers programs like MBA, MCA, BBA, BCA, BTech and many others."
"programs","programs","SGT University provides undergraduate and postgraduate programs across multiple fields."
"what courses are available","programs","Programs include MBA, MCA, BBA, BCA and engineering courses."
"mba available","programs","Yes, MBA program is available at SGT University."
"bca available","programs","Yes, BCA program is offered at SGT University."
"bba available","programs","Yes, BBA is available."
"mca available","programs","Yes, MCA program is offered."
"engineering courses","programs","Engineering programs like BTech are available."
"management courses","programs","Management programs include MBA and BBA."
"list courses","programs","SGT offers MBA, MCA, BBA, BCA and more."
"course details","programs","You can explore programs like MBA, MCA, BBA and engineering."
"which programs","programs","SGT provides multiple undergraduate and postgraduate programs."
"available programs","programs","Programs include management, IT and engineering courses."
"ug courses","programs","Undergraduate courses include BBA, BCA and BTech."
"pg courses","programs","Postgraduate programs include MBA and MCA."
"courses offered","programs","SGT University offers many academic programs across fields."
"study options","programs","Students can choose management, IT and engineering courses."
"degree programs","programs","SGT provides recognized degree programs."
"program list","programs","Programs include MBA, MCA, BBA and BCA."
"what can i study","programs","You can study management, IT and engineering."
"subjects","programs","SGT offers multiple subjects and courses."
"admission","admission","Admissions are conducted online through the official university website."
"admissions","admission","You can apply online through the university portal."
"apply","admission","Apply online via the official SGT website."
"how to apply","admission","Fill the online application form on the university website."
"apply admission","admission","Admissions are conducted online through the university portal."
"admission process","admission","The admission process involves registration and document verification."
"how to take admission","admission","You can apply online through the official website."
"how to get admission","admission","Admissions are based on eligibility and application submission."
"mba admission","admission","You can apply online for MBA through the official portal."
"bba admission","admission","You can apply online for BBA through the official portal."
"bca admission","admission","Admissions are conducted online."
"mca admission","admission","You can apply online through the university website."
"engineering admission","admission","Engineering admissions follow eligibility criteria and application."
"admission details","admission","Visit the official website to complete the admission process."
"enrollment","admission","Enrollment is done through online registration."
"register","admission","Register online on the university website."
"apply now","admission","You can apply through the official portal."
"join university","admission","Admissions are open through online application."
"direct admission","admission","Admissions are based on eligibility criteria."
"admission procedure","admission","Complete registration and document verification online."
"fees","fees","Fee structure varies by course. Please visit the official website for details."
"fee","fees","Course fees depend on the program selected."
"fee structure","fees","Fee structure varies depending on the course."
"course fees","fees","Fees differ based on program selection."
"mba fees","fees","MBA fee details are available on the official website."
"bba fees","fees","BBA fee details are available online."
"bca fees","fees","BCA fee information is available on the website."
"mca fees","fees","MCA fee details are available online."
"total fees","fees","Total fees depend on the program."
"semester fees","fees","Semester fees vary by course."
"payment","fees","Fees can be paid semester wise."
"fee details","fees","Visit official website for fee information."
"cost","fees","Cost depends on selected program."
"tuition fees","fees","Tuition fees vary by course."
"fee amount","fees","Please check official website for fee amount."
"fees information","fees","Fee details are available online."
"fee plan","fees","Flexible payment options are available."
"installments","fees","Fees can be paid in installments."
"education cost","fees","Cost depends on the chosen program."
"pricing","fees","Visit website for pricing details."
"placement","placement","SGT University provides strong placement support with top recruiters."
"placements","placement","Placement assistance is available for students."
"placement support","placement","The university has a dedicated placement cell."
"companies","placement","Top companies visit for campus placements."
"job opportunities","placement","Students receive placement support and career opportunities."
"highest package","placement","The highest package varies by year and program."
"placement record","placement","SGT University has a strong placement record."
"career support","placement","Students get career guidance and placement assistance."
"internships","placement","Internship opportunities are provided."
"recruiters","placement","Recruiters include top companies across industries."
"placement details","placement","Placement support is provided to eligible students."
"job placement","placement","Students get job opportunities through placement cell."
"placement cell","placement","SGT has a dedicated placement cell."
"employment support","placement","Career and placement support is provided."
"job assistance","placement","Students receive job assistance."
"campus placement","placement","Campus placements are conducted regularly."
"placement help","placement","Placement assistance is available."
"job help","placement","Students receive job support."
"career opportunities","placement","Many career opportunities are available."
"placement info","placement","Placement details vary by program."
"contact","contact","You can contact SGT University at Gurugram, Haryana or visit the official website."
"contact number","contact","Please visit official website for contact details."
"phone number","contact","Contact details are available on the official website."
"email","contact","Email details are available on the website."
"location","contact","SGT University is located in Gurugram, Haryana."
"address","contact","The address is Budhera, Gurugram, Haryana."
"website","contact","Visit the official SGT University website."
"official website","contact","You can find information on the official website."
"how to contact","contact","Contact information is available online."
"reach university","contact","Visit the campus or official website."
"contact details","contact","Contact details are on the official site."
"campus address","contact","SGT University is located in Gurugram."
"call university","contact","Phone details are available online."
"where located","contact","SGT University is located in Gurugram."
"university address","contact","The address is Budhera, Gurugram."
"office contact","contact","Contact information is on the website."
"helpline","contact","Helpline details are available online."
"support number","contact","Visit website for support number."
"contact info","contact","Contact details available online."
"reach us","contact","You can reach via official website."
"bye","goodbye","Goodbye! Feel free to ask anytime."
"thank you","goodbye","You're welcome! Happy to help."
"thanks","goodbye","You're welcome!"
"see you","goodbye","See you again! Take care."
"goodbye","goodbye","Goodbye! Have a great day."
"ok thanks","goodbye","You're welcome!"
"thanks a lot","goodbye","Glad I could help!"
"bye bye","goodbye","Goodbye! Best wishes."
"later","goodbye","See you later!"
"done","goodbye","Happy to help!"
